"model_selector","segment","empedu_p","empfoo_p","empgov_p","empind_p","empmed_p","empofc_p","empoth_p","empret_p","empsvc_p","emptot_p","log_hh_p","stugrd_p","stuhgh_p","stuuni_p","log_aparks"
"workplace","work_high",0.403504111063427,0.281711728281528,0.274313857723826,0.943337488674991,0.613096819460623,1,0.381569356739487,0.571325417748077,0.172065204803847,0,0,0,0,0,0
"workplace","work_low",0.357251956477239,0.536019651377014,0.224967326436456,0.776386854992363,0.6567307540901,1,0.394287243925866,0.743067693325145,0.24875997921489,0,0,0,0,0,0
"workplace","work_med",0.426990057127043,0.435223072209374,0.321907924647651,0.962096503192393,0.726373322263733,1,0.467838858249817,0.755381604696673,0.229605250153195,0,0,0,0,0,0
"workplace","work_very_high",0.268981373315861,0.127010892936352,0.157458292277426,0.591448858730433,0.383616238161508,1,0.184140399351232,0.350636070280941,0.0915453612750526,0,0,0,0,0,0
"atwork","atwork",0,1,0,0,0.134958851704535,0.541219767911058,0,0.1414849417976,0.370867224257698,0,0,0,0,0,0.124515942059686
"non_mandatory","escort",0,0.322721252707787,0,0,0,0,0,0.262276051133733,1,0,0,0.239975544098936,0.060695217973906,0,0
"non_mandatory","shopping",0,0.675219600928408,0,0,0,0,0,1,0.174342344446436,0,0,0,0,0,0
"non_mandatory","eatout",0,1,0,0,0,0,0,0.22313016014843,0,0,0,0,0,0,0
"non_mandatory","othmaint",0,0.63551441140471,0,0,0.641568220695307,0,0,0.653167416238144,1,0,0,0,0,0,0
"non_mandatory","social",0,0.482660695879968,0,0,0,0,0,0.0612358061791917,0.637947205985191,0,1,0,0,0,0.177728138105703
"non_mandatory","othdiscr",0.152537844113052,0.235917880075766,0,0,0,0,0,0.140627250299208,1,0,0.841920947142141,0,0,0,0.516577701530473
"non_mandatory","work",0.414575710496506,0.253849919854178,0.191772271937632,0,0,1,0,0,0.766578849185806,0,0,0,0,0,0
"non_mandatory","univ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"school","gradeschool",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"school","highschool",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"school","university",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
