PERID,PNUM,age,household_id,pemploy,pstudent,ptype,sex,RELATE,ESR,GRADE,PAUG,DDP,WEEKS,HOURS,MSP,POVERTY,EARNS,pagecat,padkid
45055,1,59,291977,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
131964,1,27,292323,3,3,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
131965,2,27,292323,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
199405,1,33,292324,3,3,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
199406,2,25,292324,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
301102,1,40,291978,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
302931,1,67,269996,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
303683,1,55,306982,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
304504,1,60,292150,3,3,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
304505,2,71,292150,3,3,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
340668,1,38,292149,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
340669,2,38,292149,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
344602,1,68,290391,3,3,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
372866,1,40,291866,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
390209,1,65,279674,3,3,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
390774,2,64,279674,3,3,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
415320,1,39,291868,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
466680,1,19,270365,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
466961,2,24,270365,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
467000,3,20,270365,3,2,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
470754,1,73,245379,3,3,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
470755,2,64,245379,3,3,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
504017,1,32,292181,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
504305,2,28,292181,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
530395,1,61,291896,3,3,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
551044,1,27,307341,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
551045,2,26,307341,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556336,1,51,243704,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556337,1,51,243705,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556338,1,51,243706,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556339,1,51,243707,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556340,1,51,243708,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556341,1,51,243709,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556342,1,51,243710,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556343,1,51,243711,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556344,1,51,243712,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556345,1,61,243713,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556346,1,55,243714,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556347,1,73,243715,3,3,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
556348,1,73,243716,3,3,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
